activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
A064,C010,Construction,SEC:BET:S15_S16:WB,SEC:BET:S15_S16:WB,1,2027-04-19,,3
A065,C011,Renewal,SEC:BET:S12_S13:WB,SEC:BET:S12_S13:WB,1,2027-05-10,,2
A066,C011,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:S04_H01:WB,1,2027-06-21,A065,3
A069,C011,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:H01_H02:WB,2,2027-03-01,,2
A070,C011,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,5,2027-03-15,,1
A071,C011,Renewal,SEC:BET:S15_S16:EB,SEC:BET:S16_S17:EB,1,2027-04-12,,1
A072,C012,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,1,2027-06-07,,2
A073,C012,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,1,2027-05-31,,3
A074,C013,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,1,2027-05-10,,2
A075,C014,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,1,2027-06-14,,3
