activity_id,week,location_id,co_share_group
A004,21,PLAT:ALP:H01:EB,b1
A004,21,PLAT:ALP:S03:EB,b2
A004,21,PLAT:ALP:S04:EB,b2
A004,21,SEC:ALP:S03_S04:EB,b1
A004,21,SEC:ALP:S04_H01:EB,b1
A004,22,PLAT:ALP:H01:EB,b1
A004,22,PLAT:ALP:S03:EB,b1
A004,22,PLAT:ALP:S04:EB,b1
A004,22,SEC:ALP:S03_S04:EB,b1
A004,22,SEC:ALP:S04_H01:EB,b1
A004,23,PLAT:ALP:H01:EB,b1
A004,23,PLAT:ALP:S03:EB,b1
A004,23,PLAT:ALP:S04:EB,b1
A004,23,SEC:ALP:S03_S04:EB,b4
A004,23,SEC:ALP:S04_H01:EB,b1
A006,4,PLAT:ALP:H01:WB,b1
A006,4,PLAT:ALP:H02:WB,b1
A006,4,PLAT:ALP:S03:WB,b2
A006,4,PLAT:ALP:S04:WB,b2
A006,4,SEC:ALP:H01_H02:WB,b1
A006,4,SEC:ALP:S03_S04:WB,b1
A006,4,SEC:ALP:S04_H01:WB,b2
A006,5,PLAT:ALP:H01:WB,b1
A006,5,PLAT:ALP:H02:WB,b1
A006,5,PLAT:ALP:S03:WB,b2
A006,5,PLAT:ALP:S04:WB,b2
A006,5,SEC:ALP:H01_H02:WB,b1
A006,5,SEC:ALP:S03_S04:WB,b1
A006,5,SEC:ALP:S04_H01:WB,b1
A007,15,PLAT:BET:H01:EB,b1
A007,15,PLAT:BET:H02:EB,b1
A007,15,SEC:BET:H01_H02:EB,b1
A007,16,PLAT:BET:H01:EB,b1
A007,16,PLAT:BET:H02:EB,b1
A007,16,SEC:BET:H01_H02:EB,b1
A007,17,PLAT:BET:H01:EB,b1
A007,17,PLAT:BET:H02:EB,b1
A007,17,SEC:BET:H01_H02:EB,b1
A007,18,PLAT:BET:H01:EB,b1
A007,18,PLAT:BET:H02:EB,b1
A007,18,SEC:BET:H01_H02:EB,b1
A007,19,PLAT:BET:H01:EB,b1
A007,19,PLAT:BET:H02:EB,b1
A007,19,SEC:BET:H01_H02:EB,b1
A007,20,PLAT:BET:H01:EB,b1
A007,20,PLAT:BET:H02:EB,b1
A007,20,SEC:BET:H01_H02:EB,b1
A007,22,PLAT:BET:H01:EB,b1
A007,22,PLAT:BET:H02:EB,b1
A007,22,SEC:BET:H01_H02:EB,b1
A008,17,PLAT:BET:S17:EB,b2
A008,17,PLAT:BET:S18:EB,b1
A008,17,SEC:BET:S17_S18:EB,b4
A008,18,PLAT:BET:S17:EB,b1
A008,18,PLAT:BET:S18:EB,b1
A008,18,SEC:BET:S17_S18:EB,b4
A008,19,PLAT:BET:S17:EB,b1
A008,19,PLAT:BET:S18:EB,b1
A008,19,SEC:BET:S17_S18:EB,b4
A008,20,PLAT:BET:S17:EB,b1
A008,20,PLAT:BET:S18:EB,b1
A008,20,SEC:BET:S17_S18:EB,b2
A008,21,PLAT:BET:S17:EB,b2
A008,21,PLAT:BET:S18:EB,b1
A008,21,SEC:BET:S17_S18:EB,b1
A009,17,PLAT:ALP:S05:EB,b1
A009,17,PLAT:ALP:S06:EB,b2
A009,17,SEC:ALP:S05_S06:EB,b1
A009,18,PLAT:ALP:S05:EB,b1
A009,18,PLAT:ALP:S06:EB,b2
A009,18,SEC:ALP:S05_S06:EB,b1
A009,20,PLAT:ALP:S05:EB,b2
A009,20,PLAT:ALP:S06:EB,b2
A009,20,SEC:ALP:S05_S06:EB,b1
A009,22,PLAT:ALP:S05:EB,b2
A009,22,PLAT:ALP:S06:EB,b2
A009,22,SEC:ALP:S05_S06:EB,b1
A009,23,PLAT:ALP:S05:EB,b2
A009,23,PLAT:ALP:S06:EB,b2
A009,23,SEC:ALP:S05_S06:EB,b1
A009,25,PLAT:ALP:S05:EB,b1
A009,25,PLAT:ALP:S06:EB,b2
A009,25,SEC:ALP:S05_S06:EB,b1
A009,26,PLAT:ALP:S05:EB,b1
A009,26,PLAT:ALP:S06:EB,b2
A009,26,SEC:ALP:S05_S06:EB,b1
A011,16,PLAT:BET:S15:EB,b2
A011,16,PLAT:BET:S16:EB,b2
A011,16,PLAT:BET:S17:EB,b2
A011,16,SEC:BET:S15_S16:EB,b4
A011,16,SEC:BET:S16_S17:EB,b4
A011,23,PLAT:BET:S15:EB,b1
A011,23,PLAT:BET:S16:EB,b2
A011,23,PLAT:BET:S17:EB,b2
A011,23,SEC:BET:S15_S16:EB,b4
A011,23,SEC:BET:S16_S17:EB,b4
A012,2,PLAT:BET:H01:WB,b1
A012,2,PLAT:BET:H02:WB,b1
A012,2,PLAT:BET:S15:WB,b1
A012,2,SEC:BET:H01_H02:WB,b1
A012,2,SEC:BET:H02_S15:WB,b2
A012,3,PLAT:BET:H01:WB,b1
A012,3,PLAT:BET:H02:WB,b1
A012,3,PLAT:BET:S15:WB,b1
A012,3,SEC:BET:H01_H02:WB,b1
A012,3,SEC:BET:H02_S15:WB,b1
A012,4,PLAT:BET:H01:WB,b1
A012,4,PLAT:BET:H02:WB,b1
A012,4,PLAT:BET:S15:WB,b2
A012,4,SEC:BET:H01_H02:WB,b1
A012,4,SEC:BET:H02_S15:WB,b2
A012,16,PLAT:BET:H01:WB,b1
A012,16,PLAT:BET:H02:WB,b1
A012,16,PLAT:BET:S15:WB,b1
A012,16,SEC:BET:H01_H02:WB,b1
A012,16,SEC:BET:H02_S15:WB,b1
A012,17,PLAT:BET:H01:WB,b1
A012,17,PLAT:BET:H02:WB,b1
A012,17,PLAT:BET:S15:WB,b2
A012,17,SEC:BET:H01_H02:WB,b1
A012,17,SEC:BET:H02_S15:WB,b1
A012,18,PLAT:BET:H01:WB,b1
A012,18,PLAT:BET:H02:WB,b1
A012,18,PLAT:BET:S15:WB,b1
A012,18,SEC:BET:H01_H02:WB,b1
A012,18,SEC:BET:H02_S15:WB,b2
A012,20,PLAT:BET:H01:WB,b1
A012,20,PLAT:BET:H02:WB,b1
A012,20,PLAT:BET:S15:WB,b2
A012,20,SEC:BET:H01_H02:WB,b1
A012,20,SEC:BET:H02_S15:WB,b1
A013,22,PLAT:ALP:S05:WB,b2
A013,22,PLAT:ALP:S06:WB,b2
A013,22,SEC:ALP:S05_S06:WB,b4
A013,23,PLAT:ALP:S05:WB,b1
A013,23,PLAT:ALP:S06:WB,b2
A013,23,SEC:ALP:S05_S06:WB,b4
A013,24,PLAT:ALP:S05:WB,b2
A013,24,PLAT:ALP:S06:WB,b2
A013,24,SEC:ALP:S05_S06:WB,b4
A013,25,PLAT:ALP:S05:WB,b1
A013,25,PLAT:ALP:S06:WB,b1
A013,25,SEC:ALP:S05_S06:WB,b4
A013,26,PLAT:ALP:S05:WB,b1
A013,26,PLAT:ALP:S06:WB,b1
A013,26,SEC:ALP:S05_S06:WB,b4
A014,13,PLAT:ALP:S07:EB,b2
A014,13,PLAT:ALP:S08:EB,b2
A014,13,SEC:ALP:S07_S08:EB,b4
A014,14,PLAT:ALP:S07:EB,b2
A014,14,PLAT:ALP:S08:EB,b2
A014,14,SEC:ALP:S07_S08:EB,b4
A014,15,PLAT:ALP:S07:EB,b2
A014,15,PLAT:ALP:S08:EB,b2
A014,15,SEC:ALP:S07_S08:EB,b4
A014,16,PLAT:ALP:S07:EB,b1
A014,16,PLAT:ALP:S08:EB,b1
A014,16,SEC:ALP:S07_S08:EB,b4
A014,17,PLAT:ALP:S07:EB,b1
A014,17,PLAT:ALP:S08:EB,b2
A014,17,SEC:ALP:S07_S08:EB,b4
A014,18,PLAT:ALP:S07:EB,b1
A014,18,PLAT:ALP:S08:EB,b2
A014,18,SEC:ALP:S07_S08:EB,b4
A014,19,PLAT:ALP:S07:EB,b1
A014,19,PLAT:ALP:S08:EB,b2
A014,19,SEC:ALP:S07_S08:EB,b4
A017,17,PLAT:BET:H01:EB,b1
A017,17,PLAT:BET:H02:EB,b1
A017,17,PLAT:BET:S15:EB,b2
A017,17,PLAT:BET:S16:EB,b2
A017,17,SEC:BET:H01_H02:EB,b1
A017,17,SEC:BET:H02_S15:EB,b1
A017,17,SEC:BET:S15_S16:EB,b4
A017,18,PLAT:BET:H01:EB,b1
A017,18,PLAT:BET:H02:EB,b1
A017,18,PLAT:BET:S15:EB,b2
A017,18,PLAT:BET:S16:EB,b2
A017,18,SEC:BET:H01_H02:EB,b1
A017,18,SEC:BET:H02_S15:EB,b2
A017,18,SEC:BET:S15_S16:EB,b4
A017,20,PLAT:BET:H01:EB,b1
A017,20,PLAT:BET:H02:EB,b1
A017,20,PLAT:BET:S15:EB,b2
A017,20,PLAT:BET:S16:EB,b2
A017,20,SEC:BET:H01_H02:EB,b1
A017,20,SEC:BET:H02_S15:EB,b1
A017,20,SEC:BET:S15_S16:EB,b4
A017,22,PLAT:BET:H01:EB,b1
A017,22,PLAT:BET:H02:EB,b1
A017,22,PLAT:BET:S15:EB,b2
A017,22,PLAT:BET:S16:EB,b2
A017,22,SEC:BET:H01_H02:EB,b1
A017,22,SEC:BET:H02_S15:EB,b2
A017,22,SEC:BET:S15_S16:EB,b4
A017,24,PLAT:BET:H01:EB,b1
A017,24,PLAT:BET:H02:EB,b1
A017,24,PLAT:BET:S15:EB,b2
A017,24,PLAT:BET:S16:EB,b2
A017,24,SEC:BET:H01_H02:EB,b1
A017,24,SEC:BET:H02_S15:EB,b2
A017,24,SEC:BET:S15_S16:EB,b4
A017,25,PLAT:BET:H01:EB,b1
A017,25,PLAT:BET:H02:EB,b1
A017,25,PLAT:BET:S15:EB,b2
A017,25,PLAT:BET:S16:EB,b1
A017,25,SEC:BET:H01_H02:EB,b1
A017,25,SEC:BET:H02_S15:EB,b1
A017,25,SEC:BET:S15_S16:EB,b1
A017,26,PLAT:BET:H01:EB,b1
A017,26,PLAT:BET:H02:EB,b1
A017,26,PLAT:BET:S15:EB,b2
A017,26,PLAT:BET:S16:EB,b2
A017,26,SEC:BET:H01_H02:EB,b1
A017,26,SEC:BET:H02_S15:EB,b2
A017,26,SEC:BET:S15_S16:EB,b4
A019,13,PLAT:BET:S16:EB,b2
A019,13,PLAT:BET:S17:EB,b1
A019,13,SEC:BET:S16_S17:EB,b1
A019,14,PLAT:BET:S16:EB,b2
A019,14,PLAT:BET:S17:EB,b2
A019,14,SEC:BET:S16_S17:EB,b1
A020,13,PLAT:ALP:H01:WB,b1
A020,13,PLAT:ALP:H02:WB,b1
A020,13,PLAT:ALP:S04:WB,b2
A020,13,PLAT:ALP:S05:WB,b2
A020,13,SEC:ALP:H01_H02:WB,b1
A020,13,SEC:ALP:H02_S05:WB,b2
A020,13,SEC:ALP:S04_H01:WB,b1
A020,14,PLAT:ALP:H01:WB,b1
A020,14,PLAT:ALP:H02:WB,b1
A020,14,PLAT:ALP:S04:WB,b2
A020,14,PLAT:ALP:S05:WB,b2
A020,14,SEC:ALP:H01_H02:WB,b1
A020,14,SEC:ALP:H02_S05:WB,b2
A020,14,SEC:ALP:S04_H01:WB,b2
A021,15,PLAT:BET:S11:WB,b1
A021,15,PLAT:BET:S12:WB,b2
A021,15,PLAT:BET:S13:WB,b2
A021,15,SEC:BET:S11_S12:WB,b1
A021,15,SEC:BET:S12_S13:WB,b1
A021,16,PLAT:BET:S11:WB,b1
A021,16,PLAT:BET:S12:WB,b1
A021,16,PLAT:BET:S13:WB,b1
A021,16,SEC:BET:S11_S12:WB,b1
A021,16,SEC:BET:S12_S13:WB,b1
A021,17,PLAT:BET:S11:WB,b1
A021,17,PLAT:BET:S12:WB,b2
A021,17,PLAT:BET:S13:WB,b2
A021,17,SEC:BET:S11_S12:WB,b1
A021,17,SEC:BET:S12_S13:WB,b1
A023,22,PLAT:ALP:S03:WB,b2
A023,22,PLAT:ALP:S04:WB,b2
A023,22,SEC:ALP:S03_S04:WB,b4
A023,23,PLAT:ALP:S03:WB,b2
A023,23,PLAT:ALP:S04:WB,b2
A023,23,SEC:ALP:S03_S04:WB,b3
A023,24,PLAT:ALP:S03:WB,b2
A023,24,PLAT:ALP:S04:WB,b2
A023,24,SEC:ALP:S03_S04:WB,b4
A023,25,PLAT:ALP:S03:WB,b1
A023,25,PLAT:ALP:S04:WB,b1
A023,25,SEC:ALP:S03_S04:WB,b3
A023,26,PLAT:ALP:S03:WB,b1
A023,26,PLAT:ALP:S04:WB,b1
A023,26,SEC:ALP:S03_S04:WB,b4
A023,27,PLAT:ALP:S03:WB,b1
A023,27,PLAT:ALP:S04:WB,b1
A023,27,SEC:ALP:S03_S04:WB,b2
A023,28,PLAT:ALP:S03:WB,b1
A023,28,PLAT:ALP:S04:WB,b1
A023,28,SEC:ALP:S03_S04:WB,b1
A025,8,PLAT:ALP:S01:EB,b1
A025,8,PLAT:ALP:S02:EB,b2
A025,8,PLAT:ALP:S03:EB,b2
A025,8,SEC:ALP:S01_S02:EB,b4
A025,8,SEC:ALP:S02_S03:EB,b4
A025,10,PLAT:ALP:S01:EB,b2
A025,10,PLAT:ALP:S02:EB,b1
A025,10,PLAT:ALP:S03:EB,b2
A025,10,SEC:ALP:S01_S02:EB,b4
A025,10,SEC:ALP:S02_S03:EB,b4
A025,12,PLAT:ALP:S01:EB,b2
A025,12,PLAT:ALP:S02:EB,b2
A025,12,PLAT:ALP:S03:EB,b1
A025,12,SEC:ALP:S01_S02:EB,b4
A025,12,SEC:ALP:S02_S03:EB,b4
A025,13,PLAT:ALP:S01:EB,b2
A025,13,PLAT:ALP:S02:EB,b1
A025,13,PLAT:ALP:S03:EB,b2
A025,13,SEC:ALP:S01_S02:EB,b4
A025,13,SEC:ALP:S02_S03:EB,b4
A025,14,PLAT:ALP:S01:EB,b2
A025,14,PLAT:ALP:S02:EB,b2
A025,14,PLAT:ALP:S03:EB,b2
A025,14,SEC:ALP:S01_S02:EB,b4
A025,14,SEC:ALP:S02_S03:EB,b4
A025,20,PLAT:ALP:S01:EB,b2
A025,20,PLAT:ALP:S02:EB,b2
A025,20,PLAT:ALP:S03:EB,b1
A025,20,SEC:ALP:S01_S02:EB,b4
A025,20,SEC:ALP:S02_S03:EB,b4
A025,21,PLAT:ALP:S01:EB,b2
A025,21,PLAT:ALP:S02:EB,b2
A025,21,PLAT:ALP:S03:EB,b2
A025,21,SEC:ALP:S01_S02:EB,b4
A025,21,SEC:ALP:S02_S03:EB,b4
A028,9,PLAT:ALP:H01:EB,b1
A028,9,PLAT:ALP:S03:EB,b1
A028,9,PLAT:ALP:S04:EB,b1
A028,9,SEC:ALP:S03_S04:EB,b4
A028,9,SEC:ALP:S04_H01:EB,b1
A028,11,PLAT:ALP:H01:EB,b1
A028,11,PLAT:ALP:S03:EB,b1
A028,11,PLAT:ALP:S04:EB,b2
A028,11,SEC:ALP:S03_S04:EB,b4
A028,11,SEC:ALP:S04_H01:EB,b2
A031,10,PLAT:ALP:S06:WB,b2
A031,10,PLAT:ALP:S07:WB,b2
A031,10,PLAT:ALP:S08:WB,b2
A031,10,SEC:ALP:S06_S07:WB,b4
A031,10,SEC:ALP:S07_S08:WB,b4
A031,11,PLAT:ALP:S06:WB,b1
A031,11,PLAT:ALP:S07:WB,b2
A031,11,PLAT:ALP:S08:WB,b2
A031,11,SEC:ALP:S06_S07:WB,b4
A031,11,SEC:ALP:S07_S08:WB,b4
A035,1,PLAT:ALP:S02:WB,b2
A035,1,PLAT:ALP:S03:WB,b2
A035,1,PLAT:ALP:S04:WB,b2
A035,1,SEC:ALP:S02_S03:WB,b4
A035,1,SEC:ALP:S03_S04:WB,b4
A035,26,PLAT:ALP:S02:WB,b1
A035,26,PLAT:ALP:S03:WB,b2
A035,26,PLAT:ALP:S04:WB,b2
A035,26,SEC:ALP:S02_S03:WB,b4
A035,26,SEC:ALP:S03_S04:WB,b4
A035,27,PLAT:ALP:S02:WB,b1
A035,27,PLAT:ALP:S03:WB,b1
A035,27,PLAT:ALP:S04:WB,b2
A035,27,SEC:ALP:S02_S03:WB,b4
A035,27,SEC:ALP:S03_S04:WB,b4
A036,22,PLAT:BET:H01:EB,b1
A036,22,PLAT:BET:S14:EB,b2
A036,22,SEC:BET:S14_H01:EB,b1
A036,23,PLAT:BET:H01:EB,b1
A036,23,PLAT:BET:S14:EB,b1
A036,23,SEC:BET:S14_H01:EB,b1
A036,24,PLAT:BET:H01:EB,b1
A036,24,PLAT:BET:S14:EB,b1
A036,24,SEC:BET:S14_H01:EB,b1
A036,25,PLAT:BET:H01:EB,b1
A036,25,PLAT:BET:S14:EB,b2
A036,25,SEC:BET:S14_H01:EB,b1
A036,26,PLAT:BET:H01:EB,b1
A036,26,PLAT:BET:S14:EB,b1
A036,26,SEC:BET:S14_H01:EB,b1
A036,27,PLAT:BET:H01:EB,b1
A036,27,PLAT:BET:S14:EB,b2
A036,27,SEC:BET:S14_H01:EB,b1
A036,28,PLAT:BET:H01:EB,b1
A036,28,PLAT:BET:S14:EB,b2
A036,28,SEC:BET:S14_H01:EB,b1
A037,8,PLAT:BET:S15:EB,b2
A037,8,PLAT:BET:S16:EB,b2
A037,8,PLAT:BET:S17:EB,b2
A037,8,SEC:BET:S15_S16:EB,b4
A037,8,SEC:BET:S16_S17:EB,b4
A037,9,PLAT:BET:S15:EB,b2
A037,9,PLAT:BET:S16:EB,b2
A037,9,PLAT:BET:S17:EB,b2
A037,9,SEC:BET:S15_S16:EB,b4
A037,9,SEC:BET:S16_S17:EB,b4
A038,10,PLAT:BET:S17:EB,b1
A038,10,PLAT:BET:S18:EB,b2
A038,10,SEC:BET:S17_S18:EB,b4
A038,11,PLAT:BET:S17:EB,b2
A038,11,PLAT:BET:S18:EB,b2
A038,11,SEC:BET:S17_S18:EB,b4
A038,27,PLAT:BET:S17:EB,b2
A038,27,PLAT:BET:S18:EB,b1
A038,27,SEC:BET:S17_S18:EB,b1
A039,12,PLAT:BET:S11:WB,b2
A039,12,PLAT:BET:S12:WB,b2
A039,12,PLAT:BET:S13:WB,b2
A039,12,PLAT:BET:S14:WB,b2
A039,12,SEC:BET:S11_S12:WB,b4
A039,12,SEC:BET:S12_S13:WB,b4
A039,12,SEC:BET:S13_S14:WB,b4
A039,13,PLAT:BET:S11:WB,b2
A039,13,PLAT:BET:S12:WB,b2
A039,13,PLAT:BET:S13:WB,b2
A039,13,PLAT:BET:S14:WB,b2
A039,13,SEC:BET:S11_S12:WB,b4
A039,13,SEC:BET:S12_S13:WB,b4
A039,13,SEC:BET:S13_S14:WB,b4
A039,14,PLAT:BET:S11:WB,b2
A039,14,PLAT:BET:S12:WB,b2
A039,14,PLAT:BET:S13:WB,b2
A039,14,PLAT:BET:S14:WB,b2
A039,14,SEC:BET:S11_S12:WB,b4
A039,14,SEC:BET:S12_S13:WB,b4
A039,14,SEC:BET:S13_S14:WB,b4
A039,15,PLAT:BET:S11:WB,b1
A039,15,PLAT:BET:S12:WB,b2
A039,15,PLAT:BET:S13:WB,b2
A039,15,PLAT:BET:S14:WB,b2
A039,15,SEC:BET:S11_S12:WB,b4
A039,15,SEC:BET:S12_S13:WB,b4
A039,15,SEC:BET:S13_S14:WB,b4
A039,16,PLAT:BET:S11:WB,b1
A039,16,PLAT:BET:S12:WB,b2
A039,16,PLAT:BET:S13:WB,b2
A039,16,PLAT:BET:S14:WB,b2
A039,16,SEC:BET:S11_S12:WB,b4
A039,16,SEC:BET:S12_S13:WB,b4
A039,16,SEC:BET:S13_S14:WB,b4
A039,17,PLAT:BET:S11:WB,b1
A039,17,PLAT:BET:S12:WB,b2
A039,17,PLAT:BET:S13:WB,b2
A039,17,PLAT:BET:S14:WB,b2
A039,17,SEC:BET:S11_S12:WB,b4
A039,17,SEC:BET:S12_S13:WB,b4
A039,17,SEC:BET:S13_S14:WB,b4
A039,18,PLAT:BET:S11:WB,b1
A039,18,PLAT:BET:S12:WB,b2
A039,18,PLAT:BET:S13:WB,b2
A039,18,PLAT:BET:S14:WB,b2
A039,18,SEC:BET:S11_S12:WB,b4
A039,18,SEC:BET:S12_S13:WB,b4
A039,18,SEC:BET:S13_S14:WB,b4
A040,13,PLAT:BET:H01:EB,b1
A040,13,PLAT:BET:H02:EB,b1
A040,13,PLAT:BET:S15:EB,b2
A040,13,PLAT:BET:S16:EB,b1
A040,13,SEC:BET:H01_H02:EB,b1
A040,13,SEC:BET:H02_S15:EB,b2
A040,13,SEC:BET:S15_S16:EB,b3
A040,14,PLAT:BET:H01:EB,b1
A040,14,PLAT:BET:H02:EB,b1
A040,14,PLAT:BET:S15:EB,b2
A040,14,PLAT:BET:S16:EB,b2
A040,14,SEC:BET:H01_H02:EB,b1
A040,14,SEC:BET:H02_S15:EB,b2
A040,14,SEC:BET:S15_S16:EB,b4
A040,16,PLAT:BET:H01:EB,b1
A040,16,PLAT:BET:H02:EB,b1
A040,16,PLAT:BET:S15:EB,b2
A040,16,PLAT:BET:S16:EB,b1
A040,16,SEC:BET:H01_H02:EB,b1
A040,16,SEC:BET:H02_S15:EB,b2
A040,16,SEC:BET:S15_S16:EB,b4
A040,17,PLAT:BET:H01:EB,b1
A040,17,PLAT:BET:H02:EB,b1
A040,17,PLAT:BET:S15:EB,b2
A040,17,PLAT:BET:S16:EB,b2
A040,17,SEC:BET:H01_H02:EB,b1
A040,17,SEC:BET:H02_S15:EB,b2
A040,17,SEC:BET:S15_S16:EB,b4
A040,20,PLAT:BET:H01:EB,b1
A040,20,PLAT:BET:H02:EB,b1
A040,20,PLAT:BET:S15:EB,b2
A040,20,PLAT:BET:S16:EB,b1
A040,20,SEC:BET:H01_H02:EB,b1
A040,20,SEC:BET:H02_S15:EB,b1
A040,20,SEC:BET:S15_S16:EB,b1
A040,22,PLAT:BET:H01:EB,b1
A040,22,PLAT:BET:H02:EB,b1
A040,22,PLAT:BET:S15:EB,b2
A040,22,PLAT:BET:S16:EB,b2
A040,22,SEC:BET:H01_H02:EB,b1
A040,22,SEC:BET:H02_S15:EB,b2
A040,22,SEC:BET:S15_S16:EB,b4
A040,25,PLAT:BET:H01:EB,b1
A040,25,PLAT:BET:H02:EB,b1
A040,25,PLAT:BET:S15:EB,b2
A040,25,PLAT:BET:S16:EB,b2
A040,25,SEC:BET:H01_H02:EB,b1
A040,25,SEC:BET:H02_S15:EB,b2
A040,25,SEC:BET:S15_S16:EB,b4
A041,11,PLAT:BET:S15:EB,b1
A041,11,PLAT:BET:S16:EB,b2
A041,11,SEC:BET:S15_S16:EB,b4
A041,12,PLAT:BET:S15:EB,b2
A041,12,PLAT:BET:S16:EB,b2
A041,12,SEC:BET:S15_S16:EB,b4
A042,23,PLAT:BET:S15:EB,b1
A042,23,PLAT:BET:S16:EB,b1
A042,23,PLAT:BET:S17:EB,b1
A042,23,PLAT:BET:S18:EB,b1
A042,23,SEC:BET:S15_S16:EB,b1
A042,23,SEC:BET:S16_S17:EB,b1
A042,23,SEC:BET:S17_S18:EB,b1
A042,24,PLAT:BET:S15:EB,b2
A042,24,PLAT:BET:S16:EB,b2
A042,24,PLAT:BET:S17:EB,b2
A042,24,PLAT:BET:S18:EB,b2
A042,24,SEC:BET:S15_S16:EB,b4
A042,24,SEC:BET:S16_S17:EB,b4
A042,24,SEC:BET:S17_S18:EB,b4
A042,25,PLAT:BET:S15:EB,b2
A042,25,PLAT:BET:S16:EB,b2
A042,25,PLAT:BET:S17:EB,b2
A042,25,PLAT:BET:S18:EB,b1
A042,25,SEC:BET:S15_S16:EB,b4
A042,25,SEC:BET:S16_S17:EB,b4
A042,25,SEC:BET:S17_S18:EB,b4
A043,24,PLAT:BET:H02:EB,b1
A043,24,PLAT:BET:S15:EB,b2
A043,24,PLAT:BET:S16:EB,b2
A043,24,PLAT:BET:S17:EB,b2
A043,24,SEC:BET:H02_S15:EB,b2
A043,24,SEC:BET:S15_S16:EB,b4
A043,24,SEC:BET:S16_S17:EB,b4
A043,26,PLAT:BET:H02:EB,b1
A043,26,PLAT:BET:S15:EB,b1
A043,26,PLAT:BET:S16:EB,b2
A043,26,PLAT:BET:S17:EB,b2
A043,26,SEC:BET:H02_S15:EB,b2
A043,26,SEC:BET:S15_S16:EB,b4
A043,26,SEC:BET:S16_S17:EB,b4
A046,9,PLAT:ALP:S05:WB,b2
A046,9,PLAT:ALP:S06:WB,b1
A046,9,SEC:ALP:S05_S06:WB,b4
A046,10,PLAT:ALP:S05:WB,b2
A046,10,PLAT:ALP:S06:WB,b2
A046,10,SEC:ALP:S05_S06:WB,b4
A046,11,PLAT:ALP:S05:WB,b2
A046,11,PLAT:ALP:S06:WB,b1
A046,11,SEC:ALP:S05_S06:WB,b4
A046,12,PLAT:ALP:S05:WB,b2
A046,12,PLAT:ALP:S06:WB,b2
A046,12,SEC:ALP:S05_S06:WB,b4
A046,25,PLAT:ALP:S05:WB,b1
A046,25,PLAT:ALP:S06:WB,b1
A046,25,SEC:ALP:S05_S06:WB,b4
A047,27,PLAT:ALP:H02:EB,b1
A047,27,PLAT:ALP:S05:EB,b2
A047,27,PLAT:ALP:S06:EB,b2
A047,27,SEC:ALP:H02_S05:EB,b1
A047,27,SEC:ALP:S05_S06:EB,b1
A047,28,PLAT:ALP:H02:EB,b1
A047,28,PLAT:ALP:S05:EB,b1
A047,28,PLAT:ALP:S06:EB,b2
A047,28,SEC:ALP:H02_S05:EB,b2
A047,28,SEC:ALP:S05_S06:EB,b1
A048,1,PLAT:BET:S13:EB,b2
A048,1,PLAT:BET:S14:EB,b2
A048,1,SEC:BET:S13_S14:EB,b4
A048,2,PLAT:BET:S13:EB,b2
A048,2,PLAT:BET:S14:EB,b2
A048,2,SEC:BET:S13_S14:EB,b4
A048,3,PLAT:BET:S13:EB,b2
